Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
E2,07/10/2019,Bolton,Blackpool,0,0
E2,12/10/2019,Blackpool,Rotherham,1,2
E2,12/10/2019,Bristol Rvs,Milton Keynes Dons,1,0
E2,12/10/2019,Oxford,Doncaster,3,0
E2,12/10/2019,Peterboro,Lincoln,2,0
E2,12/10/2019,Portsmouth,Gillingham,0,0
E2,12/10/2019,Rochdale,Accrington,2,1
E2,12/10/2019,Southend,AFC Wimbledon,1,4
E2,13/10/2019,Coventry,Tranmere,0,1
E2,18/10/2019,Lincoln,Shrewsbury,0,0
E2,18/10/2019,Tranmere,Southend,1,1
E2,19/10/2019,AFC Wimbledon,Portsmouth,1,0
E2,19/10/2019,Bolton,Rochdale,1,3
E2,19/10/2019,Doncaster,Bristol Rvs,2,0
E2,19/10/2019,Fleetwood Town,Burton,4,1
E2,19/10/2019,Gillingham,Peterboro,1,2
E2,19/10/2019,Milton Keynes Dons,Coventry,0,0
E2,19/10/2019,Rotherham,Oxford,1,2
E2,19/10/2019,Wycombe,Sunderland,1,0
E2,20/10/2019,Accrington,Ipswich,2,0
E2,22/10/2019,Blackpool,Wycombe,1,1
E2,22/10/2019,Bristol Rvs,Bolton,0,2
E2,22/10/2019,Burton,AFC Wimbledon,1,0
E2,22/10/2019,Portsmouth,Lincoln,1,0
E2,22/10/2019,Rochdale,Milton Keynes Dons,2,0
E2,22/10/2019,Shrewsbury,Gillingham,1,1
E2,22/10/2019,Southend,Doncaster,1,7
E2,22/10/2019,Sunderland,Tranmere,5,0
E2,23/10/2019,Coventry,Fleetwood Town,2,1
E2,23/10/2019,Ipswich,Rotherham,0,2
E2,23/10/2019,Peterboro,Accrington,4,0
E2,26/10/2019,Accrington,Gillingham,0,1
E2,26/10/2019,Bristol Rvs,Portsmouth,2,2
E2,26/10/2019,Burton,Blackpool,0,0
